FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.527452745,0.712259173,0.658736646,0.759675980
0.528240324,0.712546170,0.658736646,0.759751797
0.529027903,0.712546170,0.658736646,0.759751797
0.529815482,0.712815523,0.658736646,0.760316074
0.530603060,0.713077724,0.658736646,0.760316074
0.531390639,0.713077724,0.658736646,0.760316074
0.532178218,0.713362277,0.660185993,0.760624468
0.532965797,0.713602424,0.660185993,0.760624468
0.533753375,0.713602424,0.660185993,0.760624468
0.534540954,0.713799953,0.660185993,0.760624468
0.535328533,0.714086413,0.660225451,0.761334479
0.536116112,0.714370489,0.660225451,0.762541831
0.536903690,0.714370489,0.660225451,0.762541831
0.537691269,0.714640319,0.661106229,0.763005793
0.538478848,0.714917898,0.662018061,0.763202727
0.539266427,0.714917898,0.662018061,0.763202727
0.540054005,0.715158224,0.662018061,0.763202727
0.540841584,0.715465426,0.662018061,0.763559341
0.541629163,0.715465426,0.662018061,0.763559341
0.542416742,0.715674520,0.662018061,0.764547884
0.543204320,0.715931535,0.662018061,0.764547884
0.543991899,0.716197729,0.664251208,0.764547884
0.544779478,0.716197729,0.664251208,0.764547884
0.545567057,0.716456711,0.664479077,0.764547884
0.546354635,0.716727614,0.664930582,0.764755487
0.547142214,0.716727614,0.664930582,0.764755487
0.547929793,0.716992617,0.664930582,0.764809906
0.548717372,0.717233539,0.664930582,0.765443146
0.549504950,0.717233539,0.664930582,0.765443146
0.550292529,0.717500865,0.664930582,0.765573800
0.551080108,0.717743158,0.664930582,0.765573800
0.551867687,0.717985988,0.664930582,0.765583873
0.552655266,0.717985988,0.664930582,0.765583873
0.553442844,0.718251109,0.664930582,0.765583873
0.554230423,0.718502104,0.666374028,0.765665233
0.555018002,0.718502104,0.666374028,0.765665233
0.555805581,0.718775272,0.666374028,0.766404212
0.556593159,0.719065428,0.666666687,0.766404212
0.557380738,0.719065428,0.666666687,0.766404212
0.558168317,0.719326496,0.668129921,0.767776787
0.558955896,0.719573140,0.668129921,0.768272400
0.559743474,0.719820321,0.668129921,0.768366456
0.560531053,0.719820321,0.668129921,0.768366456
0.561318632,0.720082045,0.668129921,0.768366456
0.562106211,0.720345974,0.668129921,0.769095719
0.562893789,0.720345974,0.668129921,0.769095719
0.563681368,0.720603824,0.669270813,0.769814491
0.564468947,0.720853865,0.669270813,0.770154357
0.565256526,0.720853865,0.669270813,0.770154357
0.566044104,0.721071541,0.669885874,0.770573556
0.566831683,0.721316576,0.669885874,0.770573556
0.567619262,0.721530616,0.669885874,0.770851612
0.568406841,0.721530616,0.669885874,0.770851612
0.569194419,0.721791625,0.671006918,0.771381557
0.569981998,0.722057939,0.671641767,0.771381557
0.570769577,0.722057939,0.671641767,0.771381557
0.571557156,0.722296000,0.671641767,0.771381557
0.572344734,0.722511828,0.671875000,0.771525979
0.573132313,0.722511828,0.671875000,0.771525979
0.573919892,0.722775459,0.672519743,0.771640539
0.574707471,0.723006129,0.672519743,0.771720588
0.575495050,0.723222792,0.672519743,0.771720588
0.576282628,0.723222792,0.672519743,0.771720588
